uid,my_label,ambiguous,reason
r5_205,not,0,grass/scrub/built (high-NDVI non-tree)
r5_206,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_207,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_208,not,0,water
r5_209,canopy,0,woody tree canopy
r5_210,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_211,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_212,not,0,water
r5_213,canopy,0,woody tree canopy
r5_214,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_215,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_216,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_217,not,1,grass/scrub/built (high-NDVI non-tree)
r5_218,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_219,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_220,not,0,water
r5_221,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_222,not,0,grass/scrub/built (high-NDVI non-tree)
r5_223,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_224,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_225,not,0,water
r5_226,not,0,water
r5_227,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_228,not,0,water
r5_229,not,0,water
r5_230,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_231,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_232,not,0,water
r5_233,canopy,0,woody tree canopy
r5_234,canopy,0,woody tree canopy
r5_235,not,0,water
r5_236,not,0,grass/scrub/built (high-NDVI non-tree)
r5_237,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_238,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_239,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_240,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_241,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_242,not,0,water
r5_243,not,0,water
r5_244,not,0,water
r5_245,not,0,water
r5_246,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_247,not,0,water
r5_248,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_249,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_250,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_251,not,0,water
r5_252,canopy,1,woody tree canopy
r5_253,not,0,water
r5_254,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_255,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_256,not,0,water
r5_257,not,0,water
r5_258,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_259,not,0,water
r5_260,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_261,not,1,grass/scrub/built (high-NDVI non-tree)
r5_262,not,0,water
r5_263,not,0,grass/scrub/built (high-NDVI non-tree)
r5_264,not,0,grass/scrub/built (high-NDVI non-tree)
r5_265,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_266,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_267,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_268,not,0,water
r5_269,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_270,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_271,not,0,water
r5_272,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_273,not,0,water
r5_274,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_275,not,0,grass/scrub/built (high-NDVI non-tree)
r5_276,not,0,water
r5_277,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_278,canopy,1,woody tree canopy
r5_279,not,0,grass/scrub/built (high-NDVI non-tree)
r5_280,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_281,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_282,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_283,canopy,1,woody tree canopy
r5_284,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_285,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_286,canopy,0,woody tree canopy
r5_287,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_288,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_289,not,0,water
r5_290,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_291,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_292,not,0,water
r5_293,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_294,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_295,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_296,not,0,water
r5_297,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_298,canopy,0,woody tree canopy
r5_299,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_300,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_301,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_302,not,0,water
r5_303,not,0,water
r5_304,not,0,water
r5_305,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_306,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_307,not,0,water
r5_308,canopy,0,woody tree canopy
r5_309,not,0,water
r5_310,not,0,grass/scrub/built (high-NDVI non-tree)
r5_311,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_312,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_313,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_314,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_315,canopy,1,woody tree canopy
r5_316,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_317,not,0,grass/scrub/built (high-NDVI non-tree)
r5_318,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_319,not,0,water
r5_320,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_321,canopy,0,woody tree canopy
r5_322,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_323,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_324,canopy,0,woody tree canopy
r5_325,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_326,not,0,grass/scrub/built (high-NDVI non-tree)
r5_327,not,0,water
r5_328,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_329,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_330,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_331,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_332,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_333,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_334,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_335,not,0,water
r5_336,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_337,not,0,water
r5_338,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_339,not,0,water
r5_340,not,0,grass/scrub/built (high-NDVI non-tree)
r5_341,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_342,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_343,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_344,not,0,grass/scrub/built (high-NDVI non-tree)
r5_345,not,0,water
r5_346,not,0,water
r5_347,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_348,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_349,not,0,water
r5_350,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_351,not,0,water
r5_352,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_353,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_354,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_355,canopy,0,woody tree canopy
r5_356,not,0,water
r5_357,not,0,water
r5_358,not,0,water
r5_359,canopy,0,woody tree canopy
r5_360,not,0,water
r5_361,not,0,water
r5_362,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_363,canopy,0,woody tree canopy
r5_364,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_365,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_366,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_367,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_368,canopy,0,woody tree canopy
r5_369,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_370,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_371,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_372,not,0,water
r5_373,not,0,water
r5_374,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_375,not,0,water
r5_376,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_377,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_378,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_379,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_380,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_381,not,0,grass/scrub/built (high-NDVI non-tree)
r5_382,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_383,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_384,not,0,grass/scrub/built (high-NDVI non-tree)
r5_385,not,0,water
r5_386,not,0,grass/scrub/built (high-NDVI non-tree)
r5_387,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_388,not,0,water
r5_389,canopy,0,woody tree canopy
r5_390,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_391,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_392,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_393,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_394,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_395,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_396,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_397,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_398,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_399,not,0,water
r5_400,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_401,not,0,water
r5_402,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_403,not,0,water
r5_404,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_405,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_406,canopy,1,woody tree canopy
r5_407,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_408,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_409,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_410,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_411,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_412,not,0,water
r5_413,not,0,grass/scrub/built (high-NDVI non-tree)
r5_414,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_415,not,0,water
r5_416,not,0,water
r5_417,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_418,not,0,water
r5_419,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_420,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_421,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_422,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_423,not,0,water
r5_424,not,0,water
r5_425,not,0,water
r5_426,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_427,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_428,not,0,water
r5_429,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_430,canopy,0,woody tree canopy
r5_431,not,0,water
r5_432,canopy,0,woody tree canopy
r5_433,not,0,water
r5_434,canopy,0,woody tree canopy
r5_435,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_436,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_437,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_438,not,0,water
r5_439,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_440,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_441,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_442,not,0,water
r5_443,not,0,water
r5_444,not,0,water
r5_445,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_446,canopy,1,woody tree canopy
r5_447,not,0,water
r5_448,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_449,not,0,water
r5_450,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_451,not,0,water
r5_452,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_453,canopy,0,woody tree canopy
r5_454,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_455,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_456,canopy,0,woody tree canopy
r5_457,not,0,grass/scrub/built (high-NDVI non-tree)
r5_458,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_459,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_460,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_461,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_462,not,0,water
r5_463,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_464,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_465,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_466,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_467,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_468,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_469,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_470,canopy,0,woody tree canopy
r5_471,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_472,not,0,water
r5_473,not,0,grass/scrub/built (high-NDVI non-tree)
r5_474,not,0,water
r5_475,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_476,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_477,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_478,not,0,water
r5_479,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_480,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_481,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_482,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_483,not,0,water
r5_484,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_485,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_486,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_487,not,0,water
r5_488,not,1,grass/scrub/built (high-NDVI non-tree)
r5_489,not,0,water
r5_490,not,0,water
r5_491,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_492,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_493,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_494,not,0,water
r5_495,canopy,1,woody tree canopy
r5_496,not,0,"deep-negative (water/roof/bare/low-veg), NDVI<0.45 bulk-labeled, spot-check 16/16 confirmed"
r5_497,not,0,water
r5_498,not,0,water
r5_499,not,0,water
